"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.01","g.10","sd.u0","sd.u1","sd.e","true_cluster_means","l3a_g.01_bias","l4_g.01_bias","g.exchangeable3_g.01_bias","g.exchangeable4_g.01_bias","g.ar13_g.01_bias","g.ar14_g.01_bias","g.independence3_g.01_bias","g.independence4_g.01_bias","l1_success","l2_success","l3a_success","l4_success","g.independence1_success","g.exchangeable1_success","g.ar11_success","g.independence2_success","g.exchangeable2_success","g.ar12_success","g.independence3_success","g.ar13_success","g.independence4_success","g.exchangeable4_success","g.ar14_success"
200,20,"continuous","continuous",1,1,0,3,1.5,0,0,1,FALSE,-0.145,-0.145,-0.145,-0.145,-0.145,-0.144,-0.145,-0.145,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,3,0,3,1.5,0,0,1,FALSE,-0.064,-0.064,-0.064,-0.064,-0.064,-0.063,-0.064,-0.064,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,3,0,3,1.5,0,0,1,FALSE,-0.065,-0.067,-0.065,-0.067,-0.065,-0.067,-0.065,-0.067,1,1,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","continuous",1,3,0,3,1.5,0,0,1,FALSE,-0.033,-0.034,-0.033,-0.034,-0.033,-0.033,-0.033,-0.034,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","continuous",1,3,0,3,1.5,0,0,1,FALSE,-0.032,-0.031,-0.032,-0.031,-0.032,-0.031,-0.032,-0.031,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,3,0,3,1.5,0,0,1,FALSE,-0.017,-0.016,-0.017,-0.016,-0.017,-0.016,-0.017,-0.016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,3,0,3,1.5,0,0,1,FALSE,-0.016,-0.017,-0.016,-0.017,-0.016,-0.016,-0.016,-0.017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,0,0,0,1.5,1,0,1,FALSE,-0.014,-0.013,-0.014,-0.013,-0.015,-0.013,-0.014,-0.013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,0,0,0,1.5,1,0,1,FALSE,-0.007,-0.007,-0.007,-0.007,-0.008,-0.007,-0.007,-0.007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","continuous",1,0,0,0,1.5,1,0,1,FALSE,0.015,0.016,0.015,0.016,0.008,0.009,0.015,0.016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","continuous",1,0,0,0,1.5,1,0,1,FALSE,-0.011,-0.011,-0.011,-0.011,-0.012,-0.013,-0.011,-0.011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,0,0,0,1.5,1,0,1,FALSE,0.004,0.002,0.004,0.002,0.008,0.007,0.004,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,0,0,0,1.5,1,0,1,FALSE,0.011,0.01,0.011,0.01,0.007,0.007,0.011,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,1,0,0,1.5,1,0,1,FALSE,0.001,-0.001,0.001,-0.001,0.002,-0.001,0.001,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,1,0,0,1.5,1,0,1,FALSE,0,0.001,0,0.001,0,0.001,0,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","continuous",1,1,0,0,1.5,1,0,1,FALSE,-0.004,-0.005,-0.004,-0.005,-0.004,-0.005,-0.004,-0.005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","continuous",1,1,0,0,1.5,1,0,1,FALSE,0,0.001,0,0.001,-0.001,-0.001,0,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,1,0,0,1.5,1,0,1,FALSE,-0.001,0,-0.001,0,-0.003,-0.003,-0.001,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,1,0,0,1.5,1,0,1,FALSE,0,0,0,0,0.001,0.001,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,3,0,0,1.5,1,0,1,FALSE,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,3,0,0,1.5,1,0,1,FALSE,-0.001,-0.002,-0.001,-0.002,-0.001,-0.002,-0.001,-0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","continuous",1,3,0,0,1.5,1,0,1,FALSE,0,0.001,0,0.001,-0.001,0,0,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","continuous",1,3,0,0,1.5,1,0,1,FALSE,-0.001,0,-0.001,0,-0.001,-0.001,-0.001,0,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,3,0,0,1.5,1,0,1,FALSE,0.001,0,0.001,0,0.001,0,0.001,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,3,0,0,1.5,1,0,1,FALSE,0.001,0,0.001,0,0.001,0.001,0.001,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,1,0,1,1.5,1,0,1,FALSE,-0.165,-0.166,-0.165,-0.166,-0.165,-0.166,-0.165,-0.166,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,1,0,1,1.5,1,0,1,FALSE,-0.164,-0.166,-0.164,-0.166,-0.164,-0.164,-0.164,-0.166,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","continuous",1,1,0,1,1.5,1,0,1,FALSE,-0.091,-0.092,-0.091,-0.092,-0.092,-0.092,-0.091,-0.092,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","continuous",1,1,0,1,1.5,1,0,1,FALSE,-0.09,-0.091,-0.09,-0.091,-0.091,-0.091,-0.09,-0.091,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,1,0,1,1.5,1,0,1,FALSE,-0.049,-0.049,-0.049,-0.049,-0.049,-0.048,-0.049,-0.049,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,1,0,1,1.5,1,0,1,FALSE,-0.047,-0.047,-0.047,-0.047,-0.046,-0.047,-0.047,-0.047,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,3,0,1,1.5,1,0,1,FALSE,-0.023,-0.023,-0.023,-0.023,-0.023,-0.023,-0.023,-0.023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,3,0,1,1.5,1,0,1,FALSE,-0.021,-0.021,-0.021,-0.021,-0.021,-0.021,-0.021,-0.021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","continuous",1,3,0,1,1.5,1,0,1,FALSE,-0.01,-0.009,-0.01,-0.009,-0.01,-0.009,-0.01,-0.009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","continuous",1,3,0,1,1.5,1,0,1,FALSE,-0.012,-0.011,-0.012,-0.011,-0.011,-0.011,-0.012,-0.011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,3,0,1,1.5,1,0,1,FALSE,-0.007,-0.006,-0.007,-0.006,-0.007,-0.006,-0.007,-0.006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,3,0,1,1.5,1,0,1,FALSE,-0.005,-0.006,-0.005,-0.006,-0.005,-0.006,-0.005,-0.006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,1,0,3,1.5,1,0,1,FALSE,-0.496,-0.497,-0.496,-0.497,-0.496,-0.497,-0.496,-0.497,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,1,0,3,1.5,1,0,1,FALSE,-0.494,-0.493,-0.494,-0.493,-0.495,-0.495,-0.494,-0.493,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","continuous",1,1,0,3,1.5,1,0,1,FALSE,-0.275,-0.277,-0.275,-0.277,-0.277,-0.279,-0.275,-0.277,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","continuous",1,1,0,3,1.5,1,0,1,FALSE,-0.27,-0.271,-0.27,-0.271,-0.27,-0.271,-0.27,-0.271,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,1,0,3,1.5,1,0,1,FALSE,-0.143,-0.141,-0.143,-0.141,-0.144,-0.142,-0.143,-0.141,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,1,0,3,1.5,1,0,1,FALSE,-0.14,-0.139,-0.14,-0.139,-0.141,-0.141,-0.14,-0.139,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,3,0,3,1.5,1,0,1,FALSE,-0.066,-0.066,-0.066,-0.066,-0.066,-0.067,-0.066,-0.066,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,3,0,3,1.5,1,0,1,FALSE,-0.066,-0.068,-0.066,-0.068,-0.067,-0.068,-0.066,-0.068,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","continuous",1,3,0,3,1.5,1,0,1,FALSE,-0.032,-0.029,-0.032,-0.029,-0.032,-0.028,-0.032,-0.029,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","continuous",1,3,0,3,1.5,1,0,1,FALSE,-0.032,-0.033,-0.032,-0.033,-0.032,-0.032,-0.032,-0.033,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,3,0,3,1.5,1,0,1,FALSE,-0.017,-0.017,-0.017,-0.017,-0.017,-0.017,-0.017,-0.017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,3,0,3,1.5,1,0,1,FALSE,-0.018,-0.018,-0.018,-0.018,-0.017,-0.018,-0.018,-0.018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,0,0,0,1.5,3,0,1,FALSE,-0.006,-0.007,-0.006,-0.007,-0.006,-0.005,-0.006,-0.007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,0,0,0,1.5,3,0,1,FALSE,0.014,0.011,0.014,0.011,0.011,0.008,0.014,0.011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","continuous",1,0,0,0,1.5,3,0,1,FALSE,0.002,0.004,0.002,0.004,-0.006,-0.004,0.002,0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","continuous",1,0,0,0,1.5,3,0,1,FALSE,-0.011,-0.012,-0.011,-0.012,-0.01,-0.012,-0.011,-0.012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,0,0,0,1.5,3,0,1,FALSE,0.049,0.049,0.049,0.049,0.049,0.048,0.049,0.049,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,0,0,0,1.5,3,0,1,FALSE,0.08,0.081,0.08,0.081,0.082,0.082,0.08,0.081,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,1,0,0,1.5,3,0,1,FALSE,0.003,0.002,0.003,0.002,0.004,0.004,0.003,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,1,0,0,1.5,3,0,1,FALSE,0.004,0.003,0.004,0.003,0.003,0.001,0.004,0.003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","continuous",1,1,0,0,1.5,3,0,1,FALSE,-0.012,-0.012,-0.012,-0.012,-0.011,-0.011,-0.012,-0.012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","continuous",1,1,0,0,1.5,3,0,1,FALSE,-0.011,-0.013,-0.011,-0.013,-0.011,-0.012,-0.011,-0.013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,1,0,0,1.5,3,0,1,FALSE,-0.004,-0.004,-0.004,-0.004,-0.003,-0.003,-0.004,-0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,1,0,0,1.5,3,0,1,FALSE,0.009,0.008,0.009,0.008,0.008,0.008,0.009,0.008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,3,0,0,1.5,3,0,1,FALSE,-0.003,0.001,-0.003,0.001,-0.004,0.002,-0.003,0.001,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,3,0,0,1.5,3,0,1,FALSE,-0.001,-0.002,-0.001,-0.002,0,-0.002,-0.001,-0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","continuous",1,3,0,0,1.5,3,0,1,FALSE,-0.001,-0.002,-0.001,-0.002,-0.003,-0.003,-0.001,-0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","continuous",1,3,0,0,1.5,3,0,1,FALSE,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,3,0,0,1.5,3,0,1,FALSE,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,3,0,0,1.5,3,0,1,FALSE,-0.003,-0.003,-0.003,-0.003,-0.002,-0.003,-0.003,-0.003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,1,0,1,1.5,3,0,1,FALSE,-0.181,-0.181,-0.181,-0.181,-0.181,-0.181,-0.181,-0.181,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,1,0,1,1.5,3,0,1,FALSE,-0.161,-0.161,-0.161,-0.161,-0.161,-0.161,-0.161,-0.161,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","continuous",1,1,0,1,1.5,3,0,1,FALSE,-0.105,-0.104,-0.105,-0.104,-0.103,-0.101,-0.105,-0.104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","continuous",1,1,0,1,1.5,3,0,1,FALSE,-0.104,-0.104,-0.104,-0.104,-0.104,-0.104,-0.104,-0.104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,1,0,1,1.5,3,0,1,FALSE,-0.037,-0.036,-0.037,-0.036,-0.035,-0.034,-0.037,-0.036,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,1,0,1,1.5,3,0,1,FALSE,-0.045,-0.046,-0.045,-0.046,-0.041,-0.043,-0.045,-0.046,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,3,0,1,1.5,3,0,1,FALSE,-0.02,-0.021,-0.02,-0.021,-0.02,-0.021,-0.02,-0.021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,3,0,1,1.5,3,0,1,FALSE,-0.025,-0.024,-0.025,-0.024,-0.026,-0.024,-0.025,-0.024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","continuous",1,3,0,1,1.5,3,0,1,FALSE,-0.012,-0.011,-0.012,-0.011,-0.012,-0.011,-0.012,-0.011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","continuous",1,3,0,1,1.5,3,0,1,FALSE,-0.01,-0.011,-0.01,-0.011,-0.01,-0.01,-0.01,-0.011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,3,0,1,1.5,3,0,1,FALSE,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,3,0,1,1.5,3,0,1,FALSE,-0.004,-0.004,-0.004,-0.004,-0.004,-0.003,-0.004,-0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,1,0,3,1.5,3,0,1,FALSE,-0.501,-0.504,-0.501,-0.504,-0.501,-0.503,-0.501,-0.504,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,1,0,3,1.5,3,0,1,FALSE,-0.499,-0.499,-0.499,-0.499,-0.5,-0.5,-0.499,-0.499,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","continuous",1,1,0,3,1.5,3,0,1,FALSE,-0.286,-0.285,-0.286,-0.285,-0.285,-0.284,-0.286,-0.285,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","continuous",1,1,0,3,1.5,3,0,1,FALSE,-0.273,-0.272,-0.273,-0.272,-0.274,-0.274,-0.273,-0.272,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,1,0,3,1.5,3,0,1,FALSE,-0.159,-0.159,-0.159,-0.159,-0.159,-0.158,-0.159,-0.159,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,1,0,3,1.5,3,0,1,FALSE,-0.143,-0.143,-0.143,-0.143,-0.143,-0.143,-0.143,-0.143,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,3,0,3,1.5,3,0,1,FALSE,-0.069,-0.068,-0.069,-0.068,-0.07,-0.069,-0.069,-0.068,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,3,0,3,1.5,3,0,1,FALSE,-0.07,-0.069,-0.07,-0.069,-0.07,-0.069,-0.07,-0.069,1,1,1,0.999,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","continuous",1,3,0,3,1.5,3,0,1,FALSE,-0.036,-0.036,-0.036,-0.036,-0.036,-0.036,-0.036,-0.036,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","continuous",1,3,0,3,1.5,3,0,1,FALSE,-0.035,-0.035,-0.035,-0.035,-0.035,-0.035,-0.035,-0.035,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,3,0,3,1.5,3,0,1,FALSE,-0.015,-0.014,-0.015,-0.014,-0.015,-0.014,-0.015,-0.014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,3,0,3,1.5,3,0,1,FALSE,-0.017,-0.017,-0.017,-0.017,-0.017,-0.017,-0.017,-0.017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
